sample_id,c_score,risk_level
0,0.08694361813296345,🟢 Low
1,0.05055054657304931,🟢 Low
2,0.40533040911009105,🟠 Medium
3,0.39029209195821396,🟠 Medium
4,0.0963134350594416,🟢 Low
5,0.4376611108786427,🟠 Medium
6,0.8029666732231525,🔴 Critical
7,0.03688017681569255,🟢 Low
8,0.05657642396956179,🟢 Low
9,0.016602787178873576,🟢 Low
10,0.33066238736933967,🟠 Medium
11,0.5583548219755469,🟡 High
12,0.4103365394526193,🟠 Medium
13,0.6729869685375447,🟡 High
14,0.005177236594363374,🟢 Low
15,0.09475293258642183,🟢 Low
16,0.0583724114724738,🟢 Low
17,0.0585892012992184,🟢 Low
18,0.052757355434458336,🟢 Low
19,0.3633586856733028,🟠 Medium
20,0.3376785949169772,🟠 Medium
21,0.36484579830892166,🟠 Medium
22,0.05949353660946498,🟢 Low
23,0.38611273830139564,🟠 Medium
24,0.4462983519139722,🟠 Medium
25,0.01660530394056328,🟢 Low
26,0.016427991640438826,🟢 Low
27,0.02221755985466412,🟢 Low
28,0.06166173673313629,🟢 Low
29,0.08024983802897502,🟢 Low
30,0.5782850265686842,🟡 High
31,0.4267609921708592,🟠 Medium
32,0.38993286264602783,🟠 Medium
33,0.035101753695374424,🟢 Low
34,0.02704229345750237,🟢 Low
35,0.05667972134308992,🟢 Low
36,0.0030279330784750915,🟢 Low
37,0.5931720791250557,🟡 High
38,0.04202669461103763,🟢 Low
39,0.021968159162854165,🟢 Low
40,0.41944327939456044,🟠 Medium
41,0.372184313058503,🟠 Medium
42,0.018287666026183397,🟢 Low
43,0.04143270050441048,🟢 Low
44,0.0681760730782942,🟢 Low
45,0.046587323516753154,🟢 Low
46,0.6745023094875942,🟡 High
47,0.9097369725034532,🔴 Critical
48,0.06599550781524546,🟢 Low
49,0.4062113500431519,🟠 Medium
50,0.08916730893296694,🟢 Low
51,0.04854300446061826,🟢 Low
52,0.37778501749723536,🟠 Medium
53,0.03439999231640419,🟢 Low
54,0.8047165877725371,🔴 Critical
55,0.08135652269324033,🟢 Low
56,0.3975401946449726,🟠 Medium
57,0.6965669450283261,🟡 High
58,0.06578698479775191,🟢 Low
59,0.6503525677501634,🟡 High
60,0.062042804715113836,🟢 Low
61,0.02916893442387316,🟢 Low
62,0.013429187468503844,🟢 Low
63,0.06118280804473326,🟢 Low
64,0.04443410824492951,🟢 Low
65,0.7132336850025685,🟡 High
66,0.4018647497274793,🟠 Medium
67,0.3789035099784535,🟠 Medium
68,0.023749885111826997,🟢 Low
69,0.04943010499514085,🟢 Low
70,0.051045045885288,🟢 Low
71,0.029653456014094585,🟢 Low
72,0.36431768233141104,🟠 Medium
73,0.0018407689608917917,🟢 Low
74,0.07109461532354153,🟢 Low
75,0.06536830090270151,🟢 Low
76,0.0731816325505715,🟢 Low
77,0.009805672810052707,🟢 Low
78,0.10302693915374991,🟢 Low
79,0.38359077426812,🟠 Medium
80,0.11132608683288565,🟢 Low
81,0.4053388791865983,🟠 Medium
82,0.11535910902602668,🟢 Low
83,0.02769366920324011,🟢 Low
84,0.045263489099690836,🟢 Low
