paper_id,publication_year,biased_group_id,is_biased_member
0,2016,-1,0
1,2013,-1,0
2,2022,-1,0
3,2013,0,1
4,2017,-1,0
5,2022,-1,0
6,2014,-1,0
7,2016,-1,0
8,2019,-1,0
9,2012,-1,0
10,2016,-1,0
11,2020,-1,0
12,2020,-1,0
13,2017,-1,0
14,2014,-1,0
15,2013,-1,0
16,2017,-1,0
17,2017,-1,0
18,2012,-1,0
19,2015,-1,0
20,2014,-1,0
21,2011,-1,0
22,2017,-1,0
23,2021,-1,0
24,2023,-1,0
25,2015,-1,0
26,2011,-1,0
27,2021,-1,0
28,2014,-1,0
29,2010,-1,0
30,2021,-1,0
31,2019,-1,0
32,2015,-1,0
33,2022,-1,0
34,2015,-1,0
35,2018,-1,0
36,2010,-1,0
37,2020,-1,0
38,2020,-1,0
39,2019,-1,0
40,2021,-1,0
41,2021,-1,0
42,2023,-1,0
43,2023,-1,0
44,2023,-1,0
45,2012,-1,0
46,2021,2,1
47,2016,-1,0
48,2013,-1,0
49,2018,-1,0
50,2021,2,1
51,2021,3,1
52,2012,-1,0
53,2016,-1,0
54,2014,-1,0
55,2018,-1,0
56,2016,-1,0
57,2011,-1,0
58,2013,-1,0
59,2018,-1,0
60,2021,-1,0
61,2023,-1,0
62,2011,-1,0
63,2019,-1,0
64,2018,-1,0
65,2019,-1,0
66,2014,-1,0
67,2011,-1,0
68,2013,-1,0
69,2021,-1,0
70,2021,-1,0
71,2016,-1,0
72,2021,-1,0
73,2022,-1,0
74,2013,0,1
75,2012,-1,0
76,2023,-1,0
77,2010,-1,0
78,2013,-1,0
79,2011,-1,0
80,2017,-1,0
81,2013,-1,0
82,2011,-1,0
83,2023,-1,0
84,2015,-1,0
85,2014,4,1
86,2019,-1,0
87,2013,-1,0
88,2015,-1,0
89,2022,-1,0
90,2011,-1,0
91,2019,-1,0
92,2021,-1,0
93,2011,-1,0
94,2019,-1,0
95,2023,-1,0
96,2013,-1,0
97,2023,-1,0
98,2017,-1,0
99,2023,-1,0
100,2016,-1,0
101,2021,-1,0
102,2018,-1,0
103,2023,-1,0
104,2017,-1,0
105,2014,-1,0
106,2022,-1,0
107,2011,-1,0
108,2014,-1,0
109,2017,-1,0
110,2019,-1,0
111,2018,-1,0
112,2021,-1,0
113,2021,-1,0
114,2021,-1,0
115,2022,-1,0
116,2018,-1,0
117,2022,-1,0
118,2022,-1,0
119,2010,-1,0
120,2018,-1,0
121,2016,-1,0
122,2018,-1,0
123,2017,-1,0
124,2010,-1,0
125,2021,-1,0
126,2017,-1,0
127,2017,-1,0
128,2020,-1,0
129,2012,-1,0
130,2010,-1,0
131,2017,-1,0
132,2015,1,1
133,2012,-1,0
134,2010,-1,0
135,2020,-1,0
136,2014,-1,0
137,2019,-1,0
138,2016,-1,0
139,2019,-1,0
140,2018,-1,0
141,2021,-1,0
142,2016,-1,0
143,2018,-1,0
144,2017,-1,0
145,2021,-1,0
146,2011,-1,0
147,2010,-1,0
148,2016,-1,0
149,2016,-1,0
150,2023,-1,0
