paper_id,publication_year,biased_group_id,is_biased_member
0,2003,0,1
1,2019,-1,0
2,2014,-1,0
3,2010,-1,0
4,2007,-1,0
5,2020,-1,0
6,2004,8,1
7,2018,-1,0
8,2022,-1,0
9,2010,-1,0
10,2005,16,1
11,2023,-1,0
12,2020,-1,0
13,2003,-1,0
14,2007,-1,0
15,2023,-1,0
16,2002,-1,0
17,2021,-1,0
18,2020,-1,0
19,2001,-1,0
20,2023,-1,0
21,2011,-1,0
22,2005,-1,0
23,2001,-1,0
24,2020,-1,0
25,2000,-1,0
26,2011,-1,0
27,2021,-1,0
28,2011,-1,0
29,2016,-1,0
30,2009,-1,0
31,2015,-1,0
32,2014,-1,0
33,2014,-1,0
34,2018,-1,0
35,2011,-1,0
36,2022,-1,0
37,2019,-1,0
38,2002,-1,0
39,2004,-1,0
40,2018,-1,0
41,2006,-1,0
42,2020,-1,0
43,2008,-1,0
44,2006,-1,0
45,2017,-1,0
46,2003,-1,0
47,2013,-1,0
48,2017,-1,0
49,2008,-1,0
50,2020,-1,0
51,2001,-1,0
52,2019,-1,0
53,2014,-1,0
54,2006,-1,0
55,2011,-1,0
56,2007,-1,0
57,2014,-1,0
58,2002,-1,0
59,2013,-1,0
60,2016,-1,0
61,2003,-1,0
62,2017,-1,0
63,2007,-1,0
64,2003,-1,0
65,2001,-1,0
66,2005,-1,0
67,2021,-1,0
68,2009,-1,0
69,2003,-1,0
70,2021,-1,0
71,2017,-1,0
72,2011,-1,0
73,2001,-1,0
74,2009,-1,0
75,2003,-1,0
76,2013,-1,0
77,2015,-1,0
78,2014,-1,0
79,2007,-1,0
80,2013,-1,0
81,2022,-1,0
82,2007,-1,0
83,2020,-1,0
84,2015,-1,0
85,2012,-1,0
86,2017,-1,0
87,2014,-1,0
88,2020,-1,0
89,2023,-1,0
90,2012,-1,0
91,2008,-1,0
92,2014,-1,0
93,2012,-1,0
94,2000,-1,0
95,2006,-1,0
96,2008,-1,0
97,2023,-1,0
98,2000,-1,0
99,2011,-1,0
100,2007,-1,0
101,2004,10,1
102,2010,-1,0
103,2018,-1,0
104,2016,-1,0
105,2007,-1,0
106,2002,-1,0
107,2002,-1,0
108,2000,-1,0
109,2004,-1,0
110,2009,-1,0
111,2006,-1,0
112,2008,-1,0
113,2006,-1,0
114,2008,-1,0
115,2007,-1,0
116,2011,-1,0
117,2001,-1,0
118,2000,-1,0
119,2015,-1,0
120,2022,-1,0
121,2022,-1,0
122,2023,-1,0
123,2004,-1,0
124,2002,-1,0
125,2011,-1,0
126,2007,-1,0
127,2021,-1,0
128,2002,-1,0
129,2000,-1,0
130,2002,-1,0
131,2004,-1,0
132,2014,-1,0
133,2013,-1,0
134,2002,-1,0
135,2000,-1,0
136,2004,-1,0
137,2022,-1,0
138,2013,-1,0
139,2006,-1,0
140,2008,-1,0
141,2014,-1,0
142,2014,-1,0
143,2009,-1,0
144,2012,-1,0
145,2018,-1,0
146,2006,-1,0
147,2003,0,1
148,2019,-1,0
149,2003,-1,0
150,2004,-1,0
151,2022,-1,0
152,2006,-1,0
153,2012,-1,0
154,2014,-1,0
155,2010,-1,0
156,2003,-1,0
157,2012,-1,0
158,2006,-1,0
159,2018,-1,0
160,2021,-1,0
161,2001,-1,0
162,2009,-1,0
163,2012,-1,0
164,2020,-1,0
165,2005,-1,0
166,2011,-1,0
167,2011,-1,0
168,2019,-1,0
169,2010,-1,0
170,2022,-1,0
171,2006,-1,0
172,2000,-1,0
173,2000,-1,0
174,2019,-1,0
175,2012,-1,0
176,2008,-1,0
177,2002,-1,0
178,2006,-1,0
179,2005,-1,0
180,2007,-1,0
181,2008,-1,0
182,2004,-1,0
183,2000,-1,0
184,2018,-1,0
185,2009,-1,0
186,2011,-1,0
187,2023,-1,0
188,2014,-1,0
189,2021,-1,0
190,2023,-1,0
191,2008,-1,0
192,2019,-1,0
